414,Nookambika Devi,img/vratham/Nookambika.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
415,Peddama Thalli,img/vratham/peddama.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
416,Periyaandichi amman,img/vratham/Periyaandichi.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
417,Pydimamba Talli,img/vratham/pydimamba.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
418,Grama Devatha,img/vratham/grama.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
419,Sapta Kani,img/vratham/sapta.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
420,Subbalamma Amalapuram,img/vratham/Subbalamma.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
421,Sudalai maadan,img/vratham/Sudalai.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
422,Tadepalligudem Balusulamma,img/vratham/Tadepalligudem.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
423,Thaiyal Nayaki Amman,img/vratham/thaiyal.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
424,Dattatreya,img/vratham/dattatreya.jpg,GURUS,mantras_stotram.aspx?godname=Dattatreya,active,img/Dattatreya.jpg
425,Sripada Sri Vallabha,img/vratham/ShripadShriVallabh.jpg,GURUS,mantras_stotram.aspx?godname=Sripada Sri Vallabha,active,img/Vallabha.jpg
426,Narasimha Saraswathi,img/vratham/ShriNarasimhaSaraswati.jpg,GURUS,mantras_stotram.aspx?godname=Narasimha Saraswathi,active,img/Narasimha.jpg
427,Manik Prabhu,img/vratham/maharaj1.jpg,GURUS,mantras_stotram.aspx?godname=Manik Prabhu,active,img/manik.jpg
428,Raghavendra Swamy,img/vratham/Ragavendraswamy.jpg,GURUS,mantras_stotram.aspx?godname=Raghavendra Swamy,active,img/ragha.jpg
429,Shirdi sai,img/vratham/saibaba.jpg,GURUS,mantras_stotram.aspx?godname=Shirdi sai,active,img/sai.jpg
430,Sathya Sai,img/vratham/sathya.jpg,GURUS,mantras_stotram.aspx?godname=Sathya Sai,active,img/satya.jpg
431,Samartha Ramadas,img/vratham/Ramadas.jpg,GURUS,mantras_stotram.aspx?godname=Samartha Ramadas,active,img/ramadas.jpg
432,Surya Narayana,img/vratham/surya.jpg,PLANATES,mantras_stotram.aspx?godname=Surya Narayana,active,img/surya.jpg
433,Soma,img/vratham/soma.jpg,PLANATES,mantras_stotram.aspx?godname=Soma,active,img/soma.jpg
434,Mangala,img/vratham/mangala.jpg,PLANATES,mantras_stotram.aspx?godname=Mangala,active,img/Mangala.jpg
435,Buddha,img/vratham/budh.jpg,PLANATES,mantras_stotram.aspx?godname=Buddha,active,img/buddh.jpg
436,Guru,img/vratham/guru.jpg,PLANATES,mantras_stotram.aspx?godname=Guru,active,img/Guru.jpg
437,Shukra,img/vratham/sukra.jpg,PLANATES,mantras_stotram.aspx?godname=Shukra,active,img/Shukra.jpg
